sku,nombre_contifico,producto_madre_detectado,categoria_odoo_detectada,talla_detectada,manga_detectada,ancho_corbata_detectado,marca_detectada,color_detectado,barcode,precio,costo,stock_bpu,stock_tur,stock_bat,stock_total_contifico,estado,confidence,parser_rule
23E4246-12/50,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,50,,,Bruno Cassini,,23E424612202550,165.13,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-12/48,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,48,,,Bruno Cassini,,23E424612202548,165.13,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-12/46,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,46,,,Bruno Cassini,,23E424612202546,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-4/60,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,60,,,Bruno Cassini,Verde,23E424604202560,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-4/58,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,58,,,Bruno Cassini,Verde,23E424604202558,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-4/56,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,56,,,Bruno Cassini,Verde,23E424604202556,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-4/54,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,54,,,Bruno Cassini,Verde,23E424604202554,165.13,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-4/52,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,52,,,Bruno Cassini,Verde,23E424604202552,165.13,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-12-PAT/56,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,56,,,Bruno Cassini,,23E424612202556PT,173.83,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-12-PAT/58,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,58,,,Bruno Cassini,,23E424612202558PT,173.83,0.00,5.00,0.00,0.00,5.00,ok,0.95,blazer
23E4246-12-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,54,,,Bruno Cassini,,23E424612202554PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-12-PAT/52,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,52,,,Bruno Cassini,,23E424612202552PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-12-PAT/50,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,50,,,Bruno Cassini,,23E424612202550PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-4-PAT/52,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,52,,,Bruno Cassini,Verde,23E424604202552PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-4-PAT/50,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,50,,,Bruno Cassini,Verde,23E424604202550PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-4-PAT/48,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,48,,,Bruno Cassini,Verde,23E424604202548PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-12/60,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,60,,,Bruno Cassini,,23E424612202560,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-13-PAT/52,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,52,,,Bruno Cassini,,23E424613202552PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-13-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,54,,,Bruno Cassini,,23E424613202554PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-12/56,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,56,,,Bruno Cassini,,23E424612202556,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-12/58,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,58,,,Bruno Cassini,,23E424612202558,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-12/54,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,54,,,Bruno Cassini,,23E424612202554,165.13,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-12/52,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12,Ropa / Hombres / Levas,52,,,Bruno Cassini,,23E424612202552,165.13,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-4-PAT/46,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,46,,,Bruno Cassini,Verde,23E424604202546PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-4-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,54,,,Bruno Cassini,Verde,23E424604202554PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-4-PAT/56,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,56,,,Bruno Cassini,Verde,23E424604202556PT,173.83,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-4-PAT/58,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,58,,,Bruno Cassini,Verde,23E424604202558PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-12-PAT/46,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,46,,,Bruno Cassini,,23E424612202546PT,173.83,0.00,5.00,0.00,0.00,5.00,ok,0.95,blazer
23E4246-12-PAT/48,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,Leva 23E4246-12-PAT,Ropa / Hombres / Levas,48,,,Bruno Cassini,,23E424612202548PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-13-PAT/48,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,48,,,Bruno Cassini,,23E424613202548PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-13-PAT/50,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,50,,,Bruno Cassini,,23E424613202550PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
VE-ELA-STP-M,VESTIDO ELA ESTAMPADO,VESTIDO ELA ESTAMPADO,Ropa / Mujeres / Vestidos,M,,,,,VE-ELA-STP-M,198.17,0.00,1.00,0.00,0.00,1.00,ok,0.95,generic
VE-ELA-STP-L,VESTIDO ELA ESTAMPADO,VESTIDO ELA ESTAMPADO,Ropa / Mujeres / Vestidos,L,,,,,VE-ELA-STP-L,198.17,0.00,1.00,0.00,0.00,1.00,ok,0.95,generic
