id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_88649_0bbbee3c,tmpl_id,__import__.product_template_8020_4_f,8020-4-F/M,802004F202302,H. CAMISA LINO FRENCH BRUNO CASSINI,Talla: M,82.52,0.00
__export__.product_product_88650_3968f9f9,tmpl_id,__import__.product_template_8020_4_f,8020-4-F/L,802004F202303,H. CAMISA LINO FRENCH BRUNO CASSINI,Talla: L,82.52,0.00
__export__.product_product_88657_2c296c58,tmpl_id,__import__.product_template_8020_3_f,8020-3-F/XXL,802003F202305,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_3_f),Talla: XXL,82.52,0.00
__export__.product_product_88656_caf08cf8,tmpl_id,__import__.product_template_8020_3_f,8020-3-F/XL,802003F202304,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_3_f),Talla: XL,82.52,0.00
__export__.product_product_88653_33fd74ce,tmpl_id,__import__.product_template_8020_3_f,8020-3-F/S,802003F202301,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_3_f),Talla: S,82.52,0.00
__export__.product_product_88654_4cf4455d,tmpl_id,__import__.product_template_8020_3_f,8020-3-F/M,802003F202302,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_3_f),Talla: M,82.52,0.00
__export__.product_product_88655_20d21f21,tmpl_id,__import__.product_template_8020_3_f,8020-3-F/L,802003F202303,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_3_f),Talla: L,82.52,0.00
__export__.product_product_88662_d34cf2c7,tmpl_id,__import__.product_template_8020_15_f,8020-15-F/XXL,802015F202305,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_15_f),Talla: XXL,82.52,0.00
__export__.product_product_88661_0b855e9c,tmpl_id,__import__.product_template_8020_15_f,8020-15-F/XL,802015F202304,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_15_f),Talla: XL,82.52,0.00
__export__.product_product_88658_adaf9bcc,tmpl_id,__import__.product_template_8020_15_f,8020-15-F/S,802015F202301,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_15_f),Talla: S,82.52,0.00
__export__.product_product_88659_e063b1a8,tmpl_id,__import__.product_template_8020_15_f,8020-15-F/M,802015F202302,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_15_f),Talla: M,82.52,0.00
